"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PREX1"	"PREX1"	-0.978711899497606	7.25929666196939	-3.79196786328543	0.000260139743443947	0.03775779643643	0.33902348380629
"LPAR1"	"LPAR1"	-1.10646141844976	8.53626212727551	-3.79003371172528	0.000261908115795482	0.03775779643643	0.33303320168816
"OR1E1"	"OR1E1"	0.24780292302871	3.67672031858163	3.78635397119232	0.000265304106181684	0.037841748564736	0.321642739196671
"LMAN2"	"LMAN2"	0.345127570033494	8.77234438963265	3.78534742124742	0.000266240315918967	0.037841748564736	0.318528405742154
"NEK3"	"NEK3"	-0.733078946043062	6.86135582782653	-3.78191477898726	0.000269456782988585	0.0378861881869451	0.307912085988954
"COL5A2"	"COL5A2"	-1.44610237997129	9.19236739227551	-3.78008080051132	0.000271190389585491	0.0378861881869451	0.302242899161511
"NLRC5"	"NLRC5"	-1.1117850251866	7.4607446284898	-3.77711352449897	0.000274017771607312	0.0378861881869451	0.293074686467408
"GPR68"	"GPR68"	-0.612304976803825	7.04811194937755	-3.77615166415807	0.000274940289732462	0.0378861881869451	0.290103874959866
"STARD13"	"STARD13"	-0.594516975248804	7.29565264531633	-3.7751141873271	0.000275938644576175	0.0378861881869451	0.286900128406565
"CST7"	"CST7"	-1.00529666526794	6.54326395581633	-3.76229566598845	0.000288561914838072	0.0392564467193863	0.247369019774291
"HECTD4"	"HECTD4"	0.261328498918661	4.70964873171429	3.76105861253266	0.000289808777743079	0.0392564467193863	0.24355923022075
"ZNF702P"	"ZNF702P"	0.341051962444975	3.88062193579592	3.75278716928697	0.000298278453059466	0.040079525620065	0.218108838181895
"TRABD2A"	"TRABD2A"	-0.493963896741623	5.38402085347959	-3.74952953181759	0.000301678348955935	0.040079525620065	0.208096610191377
"TRANK1"	"TRANK1"	-0.663469043377989	5.88762677327551	-3.7493731003339	0.000301842535512554	0.040079525620065	0.207615983131528
"GGT5"	"GGT5"	-0.639666951110046	6.85129671802041	-3.74161360870868	0.000310094192419398	0.040906085526802	0.183793714160422
"WWC1"	"WWC1"	0.875405115220096	6.43140340523469	3.73860786387744	0.000313347853148326	0.041066881299303	0.174575503092913
"LINGO1-AS1"	"LINGO1-AS1"	0.302110395334927	4.45636100768367	3.71862022834274	0.000335823831770478	0.0437285961072487	0.113413826771861
"RNF175"	"RNF175"	-0.488401795588516	5.63805136694898	-3.7163602353813	0.00033845947403977	0.0437892792599018	0.106513398039188
"ATG101"	"ATG101"	0.438550469043063	8.70399128686735	3.71224157947203	0.00034331333955155	0.0441343511603116	0.0939458241881521
"CAVIN3"	"CAVIN3"	-0.767007648851672	7.67600883208163	-3.70733715811117	0.000349179494982175	0.0445236248538309	0.0789939096381147
"GNGT1"	"GNGT1"	-0.446991433253587	3.87071371720408	-3.70603458530274	0.000350753423760547	0.0445236248538309	0.0750252444508357
"OPRK1"	"OPRK1"	-0.840206110794255	3.81580297433673	-3.69545410345364	0.000363790054571448	0.0458898416963471	0.0428266888294733
"PRR15"	"PRR15"	0.344646535961725	4.91439985793878	3.68984537153497	0.00037088607459475	0.0461445082202836	0.0257856216039603
"TBC1D2B"	"TBC1D2B"	-0.439356470052628	8.80946630709184	-3.68936478173938	0.000371500178010312	0.0461445082202836	0.0243263264260687
"PPEF1"	"PPEF1"	-0.3875655591244	3.97411339517347	-3.68788314957907	0.000373399506242472	0.0461445082202836	0.0198282793092774
"LINC01279"	"LINC01279"	-1.24474300307177	9.53228789364286	-3.68667572448928	0.000374954137052297	0.0461445082202836	0.0161636735443782
"DCN"	"DCN"	-1.22544097228708	11.4196060603061	-3.68051384870015	0.000382984064197977	0.0468470749558046	-0.00252421518189028
"RASSF2"	"RASSF2"	-1.04167330574163	7.91431123982653	-3.67624726146817	0.000388639459806799	0.0472524711884375	-0.0154505259578768
"SERPINF1"	"SERPINF1"	-1.22096406181339	10.3737710747857	-3.67437819443754	0.000391141805155354	0.0472719464278474	-0.0211096814891691
"BMERB1"	"BMERB1"	-0.806453793856457	7.27692410583674	-3.67255760987728	0.000393593934177195	0.0472851569851091	-0.0266200004645469
"MMP11"	"MMP11"	-0.94981781309569	7.55817401920408	-3.66739676901908	0.000400624547163516	0.0478450013929067	-0.0422292340650365
"COPZ2"	"COPZ2"	-0.687796302559812	8.56102447053061	-3.66364377687203	0.00040581189431036	0.0480977953505581	-0.053570172419521
"SLITRK5"	"SLITRK5"	0.898641116526317	5.20817120608163	3.66242691856458	0.000407507457015579	0.0480977953505581	-0.0572454800557622
"NINJ2"	"NINJ2"	-0.654715628267942	6.78708389933673	-3.65864983808628	0.000412813319704254	0.0484407629743661	-0.0686477404883661
"CTSA"	"CTSA"	-0.60588623272249	9.59865378694898	-3.65431267047857	0.000418986773151053	0.0488282692429392	-0.0817300565434502
"LINC00623"	"LINC00623"	-0.592353142684209	9.25946469965306	-3.65294317300346	0.000420954211379449	0.0488282692429392	-0.085858522695009
"APOBEC3C"	"APOBEC3C"	-0.668471480133969	7.29974208997959	-3.64536392413175	0.000432002027221875	0.049823410945252	-0.108686080118392
"STAMBPL1"	"STAMBPL1"	-0.977619765655501	7.02602576286735	-3.63803548155118	0.000442945224871103	0.0506582821108289	-0.130724811225499
"ADAM21"	"ADAM21"	0.275710182894739	4.19328565777551	3.6371660445627	0.000444260810266894	0.0506582821108289	-0.133337273787721
"CXCL13"	"CXCL13"	-1.56140113366029	4.41970122557143	-3.62135888290925	0.000468834835605784	0.0531600757698401	-0.180753304773387
"ZNF99"	"ZNF99"	0.206599497588516	3.61132183622449	3.61754229670707	0.000474958264205199	0.0535524517358831	-0.192178714307015
"PARP12"	"PARP12"	-0.765781232425836	7.89913158987755	-3.61531601053874	0.000478565078793289	0.0535524517358831	-0.198839225165512
"TSPAN11"	"TSPAN11"	-0.615072325435408	6.62255746234694	-3.61427816276613	0.000480255351741309	0.0535524517358831	-0.201943171002981
"FXYD5"	"FXYD5"	-0.895252958784688	9.06194232406122	-3.60948796753606	0.000488130359798373	0.0539265310188032	-0.216260848842063
"RETREG2"	"RETREG2"	-0.533935542229661	7.58006834153061	-3.60899130189518	0.000488953831265966	0.0539265310188032	-0.217744549793133
"ELK4"	"ELK4"	-0.575534176315789	8.47523377228571	-3.60208272027665	0.000500545542310052	0.0542900290354363	-0.238366915713689
"KCNMB3"	"KCNMB3"	0.406329750488041	4.9037127390102	3.60177316502186	0.000501070978577104	0.0542900290354363	-0.239290258744537
"LEF1"	"LEF1"	-0.872378531569372	7.47261695426531	-3.60157039670939	0.000501415438673767	0.0542900290354363	-0.239895044999734
"CLEC2B"	"CLEC2B"	-1.16254242051675	9.99902770830612	-3.6006339121109	0.000503009236963117	0.0542900290354363	-0.242687917796373
"MRPS22"	"MRPS22"	0.403984479421053	9.28909813165306	3.59817833515221	0.000507211177561247	0.0542957270811484	-0.25000859431035
"ACER3"	"ACER3"	-0.787570135239235	7.12018283083673	-3.59746248293608	0.000508442373202053	0.0542957270811484	-0.252142022543088
"ZBTB42"	"ZBTB42"	-0.590687689679426	5.70002325508163	-3.59455397359093	0.000513473882783814	0.0543095454132783	-0.260806882850234
"CALD1"	"CALD1"	-0.961505567693779	7.94132864244898	-3.59419758580485	0.000514093639058802	0.0543095454132783	-0.261868252034936
