"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SH3D19"	"SH3D19"	-3.33451576037499	8.68588403255102	-27.6028493024908	3.32026164168109e-48	5.27660163102752e-46	99.5215380095395
"SERPINB2"	"SERPINB2"	-5.04896306722426	7.96025850167347	-27.5828760204963	3.53728893464437e-48	5.57758613811933e-46	99.4582863884772
"MAP3K2"	"MAP3K2"	-2.25654805885294	6.78198571858163	-27.5505139659446	3.91974395126779e-48	6.13272807507269e-46	99.3557252393971
"IL18"	"IL18"	-4.20507891436488	7.87628581597959	-27.5205176037748	4.31143306353069e-48	6.69366565548e-46	99.2605766702154
"VAMP3"	"VAMP3"	-3.32617768442463	8.3971274687551	-27.5121857346533	4.42707811900932e-48	6.82074180732558e-46	99.2341334717145
"MLANA"	"MLANA"	-3.63607267496506	7.24107392738776	-27.3997084670766	6.33237022348457e-48	9.6822900167113e-46	98.8765422140259
"VIT"	"VIT"	-2.84583347088695	6.48499552363265	-27.3223468340879	8.10530696557132e-48	1.22999556756486e-45	98.6299223349358
"RAB26"	"RAB26"	4.64973526362868	6.99612851612245	27.3144797131718	8.31159427204522e-48	1.25188736710962e-45	98.604812220462
"GNG4"	"GNG4"	5.14317765825	5.89217712823469	27.2337587834547	1.07601079165276e-47	1.60867598577241e-45	98.3468411458667
"TMEM43"	"TMEM43"	-2.38053159696689	9.35819378612245	-27.1997718721134	1.19979049229786e-47	1.7805420225035e-45	98.2380454905579
"CILP"	"CILP"	-4.27763768403675	9.10254312194898	-27.190144789865	1.23739571897578e-47	1.82294582453199e-45	98.2072088838495
"ARFIP1"	"ARFIP1"	-2.02244242394393	6.62855885019388	-27.1429681129058	1.43960204603637e-47	2.10547015182262e-45	98.0559733705426
"IGFBP6"	"IGFBP6"	-3.82281655551654	8.9434579975102	-27.1116859430329	1.59176120331959e-47	2.29538765932627e-45	97.9555781200205
"SLURP1"	"SLURP1"	-4.97215710791543	9.16141026789796	-27.1115996361971	1.59220270676152e-47	2.29538765932627e-45	97.9553010066918
"UCP2"	"UCP2"	2.90865604321875	10.1977392927959	27.0787316679043	1.7696505760233e-47	2.53311046637434e-45	97.8497187337133
"LY6G6C"	"LY6G6C"	-4.04170819239705	8.8497298850102	-27.0114932872174	2.19733595060319e-47	3.12315714725523e-45	97.6334163655303
"DGKD"	"DGKD"	1.48274986758916	8.05493070568367	26.9891616973668	2.36134161705668e-47	3.33279425573811e-45	97.5614840691061
"CCNE2"	"CCNE2"	4.39935990011857	6.9112988605102	26.9765081735765	2.45969620454052e-47	3.44750336779454e-45	97.5207052418584
"FOXM1"	"FOXM1"	3.46573451463604	6.33523192193878	26.9481482867688	2.69541524859434e-47	3.75183213533652e-45	97.4292550688244
"PTPN21"	"PTPN21"	-2.28460408993015	6.08132818582653	-26.9303714671902	2.85466280985739e-47	3.94627804735286e-45	97.3718932329231
"PDGFRL"	"PDGFRL"	-4.19628653202114	7.5264572085	-26.9120234701403	3.02899189591238e-47	4.15878526770066e-45	97.312657473706
"ATP6V0E1"	"ATP6V0E1"	3.02648218841912	7.99840662792857	26.8269831872506	3.98831614042857e-47	5.43893139609932e-45	97.0376982962739
"GJB3"	"GJB3"	-3.48871183340533	8.57725384455102	-26.8223004812371	4.04927899373705e-47	5.48500657252315e-45	97.0225381610123
"NDRG2"	"NDRG2"	-3.94787751809465	7.59163446286735	-26.7322824975542	5.42244259573206e-47	7.29607726064401e-45	96.7307080358707
"PRELP"	"PRELP"	-3.28660129960385	7.87329231854082	-26.7107003673544	5.81631742781962e-47	7.77422083746247e-45	96.6606277155664
"CACNA1A"	"CACNA1A"	3.77570858361489	7.40824377447959	26.687723177755	6.2674411781728e-47	8.32208982230668e-45	96.5859692979226
"SOSTDC1"	"SOSTDC1"	-3.91234562352297	7.69915423114286	-26.6785052590626	6.4581968395066e-47	8.51933247135698e-45	96.5560040983357
"TPSAB1"	"TPSAB1"	-5.32456227222425	8.67477696695918	-26.6078380155042	8.12919830284405e-47	1.06540006069027e-44	96.3260161451286
"ELAVL2"	"ELAVL2"	5.95583841804412	6.73202454064286	26.5431595422349	1.00390231244418e-46	1.30721034658458e-44	96.1151053689999
"NAPB"	"NAPB"	2.42547957354872	7.60285570069388	26.4294441295286	1.45621945332121e-46	1.88403059143474e-44	95.7433279730856
"CCDC6"	"CCDC6"	-2.15487490967003	7.56089049910204	-26.3698489543198	1.77048782858738e-46	2.27603540410058e-44	95.5479982344608
"PASK"	"PASK"	3.04607995563512	6.23760522686735	26.3442276089021	1.92585388810104e-46	2.4600955078192e-44	95.4639173080948
"RAB5A"	"RAB5A"	-2.74528739856893	7.81731104143878	-26.3302916532612	2.01606338475193e-46	2.55913253424202e-44	95.4181576975024
"CCN3"	"CCN3"	-3.61912436667003	7.52831716044898	-26.301356609332	2.21721528078243e-46	2.79687850075199e-44	95.3230882934668
"RNF227"	"RNF227"	-2.44639836631984	8.95967237781633	-26.2805897399384	2.37395719723044e-46	2.97599864047838e-44	95.2548069608567
"SP1"	"SP1"	-2.21259773246507	6.28720371040816	-26.2713618066129	2.44714920691218e-46	3.04881558290793e-44	95.2244523160449
"GTF2I"	"GTF2I"	-1.91667803792555	6.14628868095918	-26.2221654029329	2.87756748105269e-46	3.56306407791942e-44	95.0624863173538
"NPY1R"	"NPY1R"	-3.24759271380514	6.26943388070408	-26.2062597382582	3.03246954397443e-46	3.73197151256316e-44	95.0100714548067
"CYBRD1"	"CYBRD1"	-4.20119638267095	10.2423378327245	-26.1781099147262	3.32752922878293e-46	4.0702740863349e-44	94.9172480788864
"COL9A2"	"COL9A2"	3.69851528015901	7.16955058755102	26.148401511909	3.67041658893988e-46	4.46265168762492e-44	94.8192025956193
"DSC3"	"DSC3"	-6.2619254952114	9.63342777744898	-26.1381739023872	3.79653384524823e-46	4.58834985620629e-44	94.7854291366045
"HS3ST6"	"HS3ST6"	-3.51514427970311	7.06758605156122	-26.08629153273	4.50693224756555e-46	5.4144889019414e-44	94.6139484958788
"FHL1"	"FHL1"	-3.95109075774172	8.19481027393878	-26.0726210440911	4.71550144259034e-46	5.63153642697046e-44	94.5687217721055
"ENO2"	"ENO2"	3.89291289395497	7.87131098111225	26.04211294962	5.21676326913995e-46	6.1935254741795e-44	94.4677252167033
